movieId,title,genres,titles,year,AVERAGE_RATING,RATINGS_CNT
118300,Home Alone: The Holiday Heist (2012),Children|Comedy|Crime,Home Alone: The Holiday Heist,2012,1.88,37
185013,The Place (2017),Comedy|Drama,The Place,2017,3.78,43
147108,SlingShot (2014),Documentary,SlingShot,2014,3.74,17
88133,Brink of Life (Nära livet) (1958),Drama,Brink of Life,Nära livet) (1958,3.58,18
151707,The Eagle Huntress (2016),Adventure|Children|Documentary,The Eagle Huntress,2016,3.63,48
115909,"Hit List, The (2011)",Action|Thriller,"Hit List, The",2011,2.97,30
177473,spanners (2013),Fantasy|Mystery|Sci-Fi,spanners,2013,1.75,2
163076,Jean-Claude Van Johnson (2016),Comedy,Jean-Claude Van Johnson,2016,3.14,14
101756,Killing Bono (2011),Comedy,Killing Bono,2011,2.81,26
169784,Extremis (2016),Documentary,Extremis,2016,3.46,13
203677,VHS Lives: A Schlockumentary (2017),(no genres listed),VHS Lives: A Schlockumentary,2017,1.2,5
198667,Abducted in Plain Sight (2017),Documentary,Abducted in Plain Sight,2017,3.19,31
140299,B-Movie: Lust & Sound in West-Berlin (2015),Documentary|Musical,B-Movie: Lust & Sound in West-Berlin,2015,3.75,14
164071,The Confessions (2016),Drama,The Confessions,2016,3.36,7
166285,The Odyssey (2016),Adventure,The Odyssey,2016,3.52,33
135436,The Secret Life of Pets (2016),Animation|Comedy,The Secret Life of Pets,2016,3.26,1623
127134,A Walk in the Woods (2015),Adventure|Comedy|Drama,A Walk in the Woods,2015,3.25,130
107591,Open Up to Me (Kerron sinulle kaiken) (2013),Drama,Open Up to Me,Kerron sinulle kaiken) (2013,3.29,7
121157,"Tad, the Lost Explorer (2012)",Adventure|Animation|Children|Comedy,"Tad, the Lost Explorer",2012,2.52,22
95201,To Rome with Love (2012),Comedy,To Rome with Love,2012,3.26,650
96121,Hope Springs (2012),Comedy|Drama,Hope Springs,2012,3.14,262
131486,That Burning Feeling (2014),Comedy|Drama,That Burning Feeling,2014,2.85,13
86725,We Are What We Are (Somos lo que hay) (2010),Drama|Horror,We Are What We Are,Somos lo que hay) (2010,3.2,37
183411,The Secret Rules of Modern Living: Algorithms (2015),Documentary,The Secret Rules of Modern Living: Algorithms,2015,3.36,11
91241,Singham (2011),Action|Drama|Romance,Singham,2011,3.26,71
107196,Is the Man Who Is Tall Happy? (2013),Animation|Documentary,Is the Man Who Is Tall Happy?,2013,3.53,76
169172,Have a Nice Day (2017),(no genres listed),Have a Nice Day,2017,2.69,13
163981,31 (2016),Horror,31,2016,2.84,58
173273,Wakefield (2017),Drama,Wakefield,2017,3.19,70
180471,The Venerable W. (2017),Documentary,The Venerable W.,2017,3.31,8
184231,Jagga Jasoos (2017),Adventure|Comedy|Mystery|Romance,Jagga Jasoos,2017,3.25,4
172485,Paris à tout prix (2013),Comedy,Paris à tout prix,2013,2.7,5
96868,Shut Up and Play the Hits (2012),Documentary,Shut Up and Play the Hits,2012,3.92,46
133869,MI-5 (2015),Action|Drama|Thriller,MI-5,2015,3.09,61
154476,Ocho apellidos catalanes (2015),Comedy|Romance,Ocho apellidos catalanes,2015,2.6,20
163953,Naked (2014),Documentary,Naked,2014,2.67,9
170153,The Dinner (2017),Drama|Mystery|Thriller,The Dinner,2017,2.4,49
133747,Monsters: Dark Continent (2014),Drama|Sci-Fi|Thriller,Monsters: Dark Continent,2014,2.4,39
174675,The Thing on the Doorstep (2014),Horror|Mystery|Thriller,The Thing on the Doorstep,2014,3.6,5
195259,Be Afraid (2017),Horror|Mystery|Thriller,Be Afraid,2017,1.88,4
132906,The Man with the Iron Fists 2 (2015),Action,The Man with the Iron Fists 2,2015,2.38,24
188933,Parade's End (2012),Drama|Romance|War,Parade's End,2012,3.44,9
107309,Una Noche (2012),Drama,Una Noche,2012,3.55,11
157164,The Priest's Children (2013),Comedy|Drama,The Priest's Children,2013,3.09,16
199059,Music and Apocalypse (2019),Comedy,Music and Apocalypse,2019,0.5,1
200136,Brecht (2019),Documentary|Drama,Brecht,2019,2.33,3
206531,Sons of Denmark (2019),Drama|Thriller,Sons of Denmark,2019,2.5,2
166189,The Standoff (2016),Comedy,The Standoff,2016,3.0,3
158414,East Side Sushi (2014),Drama,East Side Sushi,2014,3.81,27
122563,InSight (2011),Mystery|Thriller,InSight,2011,2.83,3
82095,Skyline (2010),Sci-Fi|Thriller,Skyline,2010,2.26,646
102445,Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi|IMAX,Star Trek Into Darkness,2013,3.74,7463
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,Zootopia,2016,3.89,8688
90474,Polisse (2011),Crime|Drama,Polisse,2011,3.76,117
117438,When Marnie Was There (2014),Animation|Drama,When Marnie Was There,2014,3.81,377
107069,Lone Survivor (2013),Action|Drama|Thriller|War,Lone Survivor,2013,3.7,1526
95873,Ruby Sparks (2012),Comedy|Fantasy|Romance,Ruby Sparks,2012,3.66,1028
100083,Movie 43 (2013),Comedy,Movie 43,2013,2.36,592
106059,Conversations with My Gardener (Dialogue avec mon jardinier) (2007),Comedy|Drama,Conversations with My Gardener,Dialogue avec mon jardinier) (2007,3.19,13
120478,The Salt of the Earth (2014),Documentary,The Salt of the Earth,2014,3.96,192
97697,Transit (2012),Crime|Drama|Thriller,Transit,2012,2.86,36
110826,Brick Mansions (2014),Action|Crime|Drama,Brick Mansions,2014,2.83,125
112767,Premature (2014),Comedy,Premature,2014,3.04,66
113640,"Canal, The (2014)",Horror|Thriller,"Canal, The",2014,3.01,105
99917,Upstream Color (2013),Romance|Sci-Fi|Thriller,Upstream Color,2013,3.58,781
120811,Patton Oswalt: Finest Hour (2011),Comedy,Patton Oswalt: Finest Hour,2011,3.67,39
101218,Leviathan (2012),Documentary,Leviathan,2012,3.4,31
134821,Tu dors Nicole (2014),Comedy|Drama,Tu dors Nicole,2014,3.16,25
95182,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),Action|Adventure|Animation|Sci-Fi,Dragon Ball Z the Movie: The Tree of Might,Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990,3.11,46
192945,Sollers Point (2017),Drama,Sollers Point,2017,3.64,7
132377,Outcast (2014),Action,Outcast,2014,2.15,43
205945,Steven Universe: The Movie (2019),Adventure|Animation|Children|Comedy,Steven Universe: The Movie,2019,3.2,20
155846,War on Everyone (2016),Comedy,War on Everyone,2016,3.06,81
183155,Lean on Pete (2018),Adventure|Drama,Lean on Pete,2018,3.47,58
99795,Whores' Glory (2011),Documentary,Whores' Glory,2011,3.49,57
190551,Blindspotting (2018),Comedy|Drama,Blindspotting,2018,3.81,177
185989,Truth or Dare (2018),Horror|Thriller,Truth or Dare,2018,2.73,112
172515,Hooked on the Game 2. The Next Level (2010),Action|Sci-Fi,Hooked on the Game 2. The Next Level,2010,2.59,11
161620,Clash (2016),(no genres listed),Clash,2016,3.44,26
105364,Something in the Air (Après Mai) (2012),Action|Drama,Something in the Air,Après Mai) (2012,3.33,24
162150,Let's Be Evil (2016),Sci-Fi|Thriller,Let's Be Evil,2016,2.13,24
138630,In My Dreams (2014),Drama|Fantasy|Romance,In My Dreams,2014,3.36,11
149400,A Christmas Melody (2015),Comedy|Romance,A Christmas Melody,2015,3.08,6
158880,Love by Chance (2016),Romance,Love by Chance,2016,3.61,9
132588,In the Crosswind (2014),War,In the Crosswind,2014,3.46,12
110328,Electrick Children (2012),Drama,Electrick Children,2012,3.6,72
117706,Lost Christmas (2011),Drama,Lost Christmas,2011,3.29,7
192233,The Web (2013),Comedy|Drama|Romance|Sci-Fi,The Web,2013,3.67,3
120928,Lullaby (2014),Drama,Lullaby,2014,2.21,7
148803,100 Ghost Street: The Return of Richard Speck (2012),Horror,100 Ghost Street: The Return of Richard Speck,2012,2.31,8
133157,Barbie: The Pearl Princess (2014),Animation|Children,Barbie: The Pearl Princess,2014,2.89,23
166482,Alienate (2016),Drama|Horror|Sci-Fi|Thriller,Alienate,2016,2.17,12
169034,Lemonade (2016),(no genres listed),Lemonade,2016,3.72,16
195149,Ronnie Coleman: The King (2018),Documentary,Ronnie Coleman: The King,2018,3.71,7
188225,All These Small Moments (2018),(no genres listed),All These Small Moments,2018,2.75,6
202781,Ever After (2018),Horror,Ever After,2018,1.0,3
204844,Winter Ridge (2018),Thriller,Winter Ridge,2018,1.75,2
205941,Back to School (2019),Comedy,Back to School,2019,1.8,5
166649,Sağ Salim (2012),(no genres listed),Sağ Salim,2012,3.17,3
154864,The Event (2015),(no genres listed),The Event,2015,3.13,4
111113,Neighbors (2014),Comedy,Neighbors,2014,3.25,2021
173145,War for the Planet of the Apes (2017),Action|Adventure|Drama|Sci-Fi,War for the Planet of the Apes,2017,3.57,1373
86833,Bridesmaids (2011),Comedy,Bridesmaids,2011,3.5,4177
162578,Kubo and the Two Strings (2016),Adventure|Animation|Children|Fantasy,Kubo and the Two Strings,2016,3.85,1933
183897,Isle of Dogs (2018),Animation|Comedy,Isle of Dogs,2018,3.86,2098
76753,"Final, The (2010)",Drama|Horror|Thriller,"Final, The",2010,2.92,59
83910,"Dilemma, The (2011)",Comedy|Drama,"Dilemma, The",2011,2.66,292
84637,Gnomeo & Juliet (2011),Adventure|Animation|Children|Comedy|Fantasy|Romance,Gnomeo & Juliet,2011,2.67,633
85025,"Eagle, The (2011)",Adventure|Drama,"Eagle, The",2011,3.17,404
110828,Devil's Knot (2013),Crime|Drama|Thriller,Devil's Knot,2013,3.02,88
178523,1922 (2017),Crime|Drama|Mystery,1922,2017,3.06,251
134117,San Andreas Quake (2015),Action|Sci-Fi,San Andreas Quake,2015,1.68,30
99530,Rurouni Kenshin (Rurôni Kenshin: Meiji kenkaku roman tan) (2012),Action|Drama,Rurouni Kenshin,Rurôni Kenshin: Meiji kenkaku roman tan) (2012,3.58,125
144276,Brotherhood of Blades (2014),Action|Drama|Romance,Brotherhood of Blades,2014,3.44,17
144342,Troubleshooter (2010),Action|Thriller,Troubleshooter,2010,3.5,9
92938,Ghost Rider: Spirit of Vengeance (2012),Action|Fantasy|Thriller,Ghost Rider: Spirit of Vengeance,2012,2.26,770
184999,Overboard (2018),Comedy|Romance,Overboard,2018,3.26,129
100052,Red Hook Summer (2012),Drama,Red Hook Summer,2012,2.14,11
180981,Look & See: A Portrait of Wendell Berry (2017),Documentary,Look & See: A Portrait of Wendell Berry,2017,3.5,2
93700,Corman's World: Exploits of a Hollywood Rebel (2011),Documentary,Corman's World: Exploits of a Hollywood Rebel,2011,3.84,40
162460,The Childhood of a Leader (2016),Drama|Horror|Mystery,The Childhood of a Leader,2016,3.0,33
198111,Paradise Hills,Fantasy,Paradise Hills,,2.42,12
133383,Shrew's Nest (2014),Drama|Horror|Thriller,Shrew's Nest,2014,3.32,25
136221,Hansel & Gretel: Warriors of Witchcraft (2013),Horror|Thriller,Hansel & Gretel: Warriors of Witchcraft,2013,2.29,14
197697,Once Upon a Deadpool (2018),Action|Comedy,Once Upon a Deadpool,2018,3.82,22
195927,The Deminer (2017),Documentary,The Deminer,2017,4.0,4
112850,Words and Pictures (2013),Comedy|Drama|Romance,Words and Pictures,2013,3.51,47
103175,From the East (D'Est) (1993),Documentary,From the East,D'Est) (1993,3.86,7
100077,Made in Hong Kong (Xiang Gang zhi zao) (1997),Crime|Drama|Romance,Made in Hong Kong,Xiang Gang zhi zao) (1997,3.1,5
149396,The Bridge (2015),(no genres listed),The Bridge,2015,3.83,3
158823,Bridal Wave (2015),Romance,Bridal Wave,2015,2.75,6
143389,Les Misérables in Concert - The 25th Anniversary (2010),(no genres listed),Les Misérables in Concert - The 25th Anniversary,2010,3.89,58
164739,The Wizards Return: Alex vs. Alex (2013),Adventure|Comedy|Drama,The Wizards Return: Alex vs. Alex,2013,3.86,14
172539,Pitbull Tough Women (2016),Action|Crime|Drama,Pitbull Tough Women,2016,2.71,7
168654,Kills on Wheels (2016),Action|Comedy,Kills on Wheels,2016,3.39,9
167198,The Fourth Phase (2016),Documentary,The Fourth Phase,2016,3.38,4
196597,Nobody's Fool (2018),Comedy,Nobody's Fool,2018,2.18,14
145773,Wolf Warrior (2015),Action|Adventure|War,Wolf Warrior,2015,2.5,7
200052,Pokémon the Movie: The Power of Us (2018),Adventure|Animation|Children|Fantasy,Pokémon the Movie: The Power of Us,2018,3.71,7
208787,Marvel Renaissance (2014),Documentary,Marvel Renaissance,2014,3.0,1
152123,James White (2015),Drama,James White,2015,3.45,38
192341,The Public (2018),Drama,The Public,2018,3.18,19
187147,Lea (2011),Drama,Lea,2011,2.5,2
120629,The Dark Matter of Love (2012),Documentary,The Dark Matter of Love,2012,3.57,15
203154,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese (2019),Documentary,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,3.32,30
133778,The Farewell Party (2014),Drama,The Farewell Party,2014,3.77,11
163951,Kickboxer: Vengeance (2016),Action|Drama,Kickboxer: Vengeance,2016,2.5,30
163923,Jules and Dolores (2016),Comedy,Jules and Dolores,2016,2.92,6
201016,The Haunting of Sharon Tate (2019),Drama|Horror|Thriller,The Haunting of Sharon Tate,2019,1.5,12
159610,Abzurdah (2015),Drama|Romance,Abzurdah,2015,3.41,11
162356,Sniper: Ghost Shooter (2016),Action|Drama|War,Sniper: Ghost Shooter,2016,3.22,25
166735,The Game (2014),(no genres listed),The Game,2014,4.13,4
194526,The Image You Missed (2018),(no genres listed),The Image You Missed,2018,2.83,3
76077,Hot Tub Time Machine (2010),Comedy|Sci-Fi,Hot Tub Time Machine,2010,3.11,2915
86781,Incendies (2010),Drama|Mystery|War,Incendies,2010,4.02,1316
108156,Ride Along (2014),Action|Comedy,Ride Along,2014,3.18,531
82167,Love and Other Drugs (2010),Comedy|Drama|Romance,Love and Other Drugs,2010,3.37,1528
114033,Into the Storm (2014),Action|Thriller,Into the Storm,2014,2.88,206
194396,Overlord (2018),Action|Horror|Sci-Fi|Thriller|War,Overlord,2018,3.31,254
133802,Slow West (2015),Action|Thriller|Western,Slow West,2015,3.55,325
108342,"Monkey in Winter, A (Un singe en hiver) (1962)",Comedy|Drama,"Monkey in Winter, A",Un singe en hiver) (1962,3.32,17
119426,Thérèse (2012),Drama,Thérèse,2012,3.19,13
114704,Space Station 76 (2014),Comedy|Drama|Sci-Fi,Space Station 76,2014,2.6,68
131451,The Atticus Institute (2015),Horror,The Atticus Institute,2015,3.02,52
106236,Somm (2012),Documentary,Somm,2012,3.48,62
97673,56 Up (2012),Documentary,56 Up,2012,3.98,185
127128,Mississippi Grind (2015),Drama,Mississippi Grind,2015,3.43,125
143531,Mountains May Depart (2015),Drama,Mountains May Depart,2015,3.19,29
165421,The Red Pill (2016),Documentary,The Red Pill,2016,3.63,68
87909,Megan Is Missing (2011),Crime|Drama,Megan Is Missing,2011,2.59,39
105477,Talaash (2012),Crime|Drama|Mystery,Talaash,2012,3.03,48
175795,Descendants 2 (2017),Action|Adventure|Children|Comedy,Descendants 2,2017,2.85,58
103474,How to Make Money Selling Drugs (2013),Documentary,How to Make Money Selling Drugs,2013,3.61,55
163092,The Intervention (2016),Comedy|Drama,The Intervention,2016,2.91,29
136674,Maya the Bee Movie (2014),Animation|Children,Maya the Bee Movie,2014,1.67,9
191781,Gyo: Tokyo Fish Attack (2012),Animation|Horror,Gyo: Tokyo Fish Attack,2012,2.38,8
185107,Schubert in Love (2016),Comedy,Schubert in Love,2016,3.0,2
155798,Hannibal Buress: Comedy Camisado (2016),Comedy,Hannibal Buress: Comedy Camisado,2016,3.76,21
168126,Clinical (2017),Thriller,Clinical,2017,2.48,30
144058,Territory (2015),Adventure|Drama,Territory,2015,3.56,16
179901,Mark Felt: The Man Who Brought Down the White House (2017),Drama|Thriller,Mark Felt: The Man Who Brought Down the White House,2017,3.07,45
95939,"Angels' Share, The (2012)",Comedy|Drama,"Angels' Share, The",2012,3.61,184
155285,Dil Dhadakne Do (2015),Children|Drama|Romance,Dil Dhadakne Do,2015,2.87,30
178397,Jai Ho (2014),Action|Drama,Jai Ho,2014,2.8,5
185947,Xibalba (2017),Horror|Sci-Fi,Xibalba,2017,2.07,7
143043,Fish & Cat (2013),(no genres listed),Fish & Cat,2013,3.18,11
176403,The Divine Order (2017),Drama,The Divine Order,2017,3.84,16
161135,Homme Less (2015),Documentary,Homme Less,2015,3.5,2
197617,The Troubleshooter (2018),Comedy,The Troubleshooter,2018,2.5,1
174693,Home (2016),Children|Drama|Horror,Home,2016,2.25,8
132418,The Marine 4: Moving Target (2015),Action|Thriller,The Marine 4: Moving Target,2015,2.29,14
197311,"Into the Dark: New Year, New You (2018)",Drama|Horror,"Into the Dark: New Year, New You",2018,3.13,8
193455,Aniara (2018),Sci-Fi,Aniara,2018,3.48,22
196175,Welcome to Marwen (2018),Animation|Comedy|Drama|Fantasy,Welcome to Marwen,2018,2.91,58
198155,The Wedding Year,Comedy|Romance,The Wedding Year,,1.33,3
205857,Judy (2019),Drama|Romance,Judy,2019,3.5,17
206633,Strange But True (2019),Thriller,Strange But True,2019,1.67,3
154077,Khatta Meetha (2010),Comedy|Drama,Khatta Meetha,2010,2.42,12
150364,The Lesson (2014),Drama,The Lesson,2014,3.77,11
89164,Good Neighbours (a.k.a. Good Neighbors) (2010),Crime|Thriller,Good Neighbours,a.k.a. Good Neighbors) (2010,3.04,26
171579,Rising Fear (2016),Action,Rising Fear,2016,2.9,5
173405,Black Rose (2014),Action|Crime|Drama,Black Rose,2014,1.44,9
138794,Shank (2010),Action|Drama|Thriller,Shank,2010,2.43,7
82852,Little Fockers (2010),Comedy,Little Fockers,2010,2.68,1146
104211,We're the Millers (2013),Comedy|Crime,We're the Millers,2013,3.5,3532
152545,The Commune (2016),Drama,The Commune,2016,3.37,41
167740,The Bye Bye Man (2017),Horror|Thriller,The Bye Bye Man,2017,1.98,87
135885,Absolutely Anything (2015),Comedy|Sci-Fi,Absolutely Anything,2015,3.05,238
87234,Submarine (2010),Comedy|Drama|Romance,Submarine,2010,3.73,1308
88911,My Afternoons with Margueritte (La tête en friche) (2010),Comedy,My Afternoons with Margueritte,La tête en friche) (2010,3.8,79
143365,The Circle (2016),Drama|Sci-Fi|Thriller,The Circle,2016,2.7,585
176523,Goodbye Christopher Robin (2017),Children,Goodbye Christopher Robin,2017,3.59,101
182825,All the Money in the World (2017),Crime|Drama|Mystery|Thriller,All the Money in the World,2017,3.39,282
136602,Creep (2014),Horror|Thriller,Creep,2014,3.39,411
179749,Creep 2 (2017),Comedy|Horror,Creep 2,2017,3.51,158
94953,Wanderlust (2012),Comedy,Wanderlust,2012,2.94,402
99178,Struck by Lightning (2012),Comedy|Drama,Struck by Lightning,2012,3.25,64
120919,Man on High Heels (2014),Action|Comedy,Man on High Heels,2014,3.43,21
130510,Berserk: The Golden Age Arc 3 - Descent (2013),Action|Animation|Fantasy,Berserk: The Golden Age Arc 3 - Descent,2013,3.93,100
203322,The Peanut Butter Falcon (2019),Adventure,The Peanut Butter Falcon,2019,3.39,28
148238,A Very Murray Christmas (2015),Comedy,A Very Murray Christmas,2015,2.51,267
190743,Support the Girls (2018),Drama,Support the Girls,2018,3.36,54
98381,Hellraiser: Revelations (2011),Horror,Hellraiser: Revelations,2011,2.09,34
194947,Cam (2018),Horror|Thriller,Cam,2018,3.08,128
102819,Behind the Candelabra (2013),Drama,Behind the Candelabra,2013,3.4,271
129935,Gimme the Loot (2013),Drama,Gimme the Loot,2013,3.42,18
89570,Restless (2011),Drama,Restless,2011,3.44,119
102856,3096 Days (2013),Drama,3096 Days,2013,3.36,29
183979,M.S. Dhoni: The Untold Story (2016),Drama,M.S. Dhoni: The Untold Story,2016,3.54,12
111389,Kid Cannabis (2014),Drama,Kid Cannabis,2014,3.59,53
167354,Stratos (2014),Crime|Drama,Stratos,2014,3.5,5
167038,Dear Zindagi (2016),Drama|Romance,Dear Zindagi,2016,3.49,43
196905,Cannibals and Carpet Fitters (2017),Comedy|Horror,Cannibals and Carpet Fitters,2017,3.5,1
157140,Dreamland (2016),Comedy|Drama|Romance,Dreamland,2016,3.78,9
100157,Gayby (2012),Comedy|Drama,Gayby,2012,3.06,18
188765,Polish Legends: Operacja Bazyliszek (2016),Sci-Fi,Polish Legends: Operacja Bazyliszek,2016,3.94,8
203835,You Can't Watch This (2019),Documentary,You Can't Watch This,2019,2.33,3
157555,Yennai Arindhaal (2015),Action|Drama|Romance|Thriller,Yennai Arindhaal,2015,3.17,9
183441,İftarlık Gazoz (2016),Comedy|Drama,İftarlık Gazoz,2016,3.0,5
146333,Eu Não Faço a Menor Ideia do que eu Tô Fazendo Com a Minha Vida (2013),(no genres listed),Eu Não Faço a Menor Ideia do que eu Tô Fazendo Com a Minha Vida,2013,2.94,8
206133,Burn (2019),Thriller,Burn,2019,2.33,3
201725,Bloodline (2018),Horror,Bloodline,2018,2.0,3
196839,Involution (2018),Drama|Sci-Fi|Thriller,Involution,2018,2.0,3
133201,Doug Stanhope: Before Turning the Gun on Himself (2012),(no genres listed),Doug Stanhope: Before Turning the Gun on Himself,2012,4.05,11
199183,Hybrids (2017),Animation,Hybrids,2017,2.0,5
186349,Big Bang Big Boom (2010),Animation,Big Bang Big Boom,2010,3.63,8
189077,Alipato: The Very Brief Life of an Ember (2016),(no genres listed),Alipato: The Very Brief Life of an Ember,2016,4.13,4
143930,Cookie (2013),Comedy|Drama,Cookie,2013,3.5,1
103253,Elysium (2013),Action|Drama|Sci-Fi|IMAX,Elysium,2013,3.27,5085
85397,Red Riding Hood (2011),Fantasy|Horror|Mystery|Thriller,Red Riding Hood,2011,2.69,734
86898,"Tree of Life, The (2011)",Drama,"Tree of Life, The",2011,3.37,1717
109742,Cheap Thrills (2013),Comedy|Thriller,Cheap Thrills,2013,3.36,148
106889,Tim's Vermeer (2013),Documentary,Tim's Vermeer,2013,4.01,260
74154,When in Rome (2010),Comedy|Romance,When in Rome,2010,3.02,681
193851,U: July 22 (2018),Drama|Thriller,U: July 22,2018,3.81,24
96634,Apartment 143 (2011),Horror|Thriller,Apartment 143,2011,2.79,69
107769,Paranormal Activity: The Marked Ones (2014),Horror|Thriller,Paranormal Activity: The Marked Ones,2014,2.76,168
114246,"Walk Among the Tombstones, A (2014)",Action|Crime|Mystery|Thriller,"Walk Among the Tombstones, A",2014,3.15,557
144550,Howling (2012),Mystery|Thriller,Howling,2012,3.07,14
118496,A Cinderella Story: Once Upon a Song (2011),Children|Comedy|Romance,A Cinderella Story: Once Upon a Song,2011,3.24,137
129370,"SpongeBob Movie: Sponge Out of Water, The (2015)",Adventure|Animation|Children|Comedy,"SpongeBob Movie: Sponge Out of Water, The",2015,2.89,227
158974,Neruda (2016),Drama,Neruda,2016,3.24,39
100106,"Pervert's Guide to Ideology, The (2012)",Documentary,"Pervert's Guide to Ideology, The",2012,3.77,242
177771,Suburbicon (2017),Comedy|Crime|Mystery,Suburbicon,2017,2.7,158
120311,Drishyam (2013),Children|Drama|Thriller,Drishyam,2013,3.84,38
88468,Alpha and Omega (2010),Adventure|Animation|Children|Comedy|Romance,Alpha and Omega,2010,2.54,138
130990,In the Name of the Son (2013),Drama,In the Name of the Son,2013,3.0,5
181545,Voyeur (2017),Documentary,Voyeur,2017,3.05,31
142482,Monster Hunt (2015),Action|Comedy|Fantasy,Monster Hunt,2015,3.13,20
113632,"Other F Word, The (2011)",Comedy|Documentary|Drama,"Other F Word, The",2011,3.29,17
96834,Knuckleball! (2012),Documentary,Knuckleball!,2012,3.46,45
180455,The End?,Horror,The End?,,2.75,6
189381,SuperFly (2018),Action|Crime|Thriller,SuperFly,2018,2.56,25
190979,Siberia (2018),Crime|Romance|Thriller,Siberia,2018,2.17,30
179357,Hobbyhorse Revolution (2017),(no genres listed),Hobbyhorse Revolution,2017,4.0,7
136859,The Lovers (2015),Action|Adventure|Romance|Sci-Fi,The Lovers,2015,2.54,14
170903,The Swan Princess Christmas (2012),Animation,The Swan Princess Christmas,2012,1.5,4
119563,12 Dates of Christmas (2011),Children|Comedy|Fantasy|Romance,12 Dates of Christmas,2011,3.19,39
100017,Keep the Lights On (2012),Drama,Keep the Lights On,2012,3.0,26
179521,Free Willy: Escape From Pirate's Cove (2010),Action|Adventure|Children|Drama,Free Willy: Escape From Pirate's Cove,2010,2.92,13
114003,"Return to Homs, The (2013)",Documentary,"Return to Homs, The",2013,3.27,11
157432,Precious Cargo (2016),Action|Crime,Precious Cargo,2016,2.63,41
179325,The Stronghold (2017),(no genres listed),The Stronghold,2017,3.38,13
167448,Domain (2016),Drama|Sci-Fi|Thriller,Domain,2016,3.86,7
206135,The Odds (2019),Horror,The Odds,2019,2.25,4
124521,Squatters (2014),Drama,Squatters,2014,2.58,6
207121,Nikki Glaser: Bangin' (2019),Comedy,Nikki Glaser: Bangin',2019,2.56,8
152099,Jesse Stone: Lost in Paradise (2015),Crime|Drama|Mystery,Jesse Stone: Lost in Paradise,2015,3.15,17
195391,Kusama - Infinity (2018),Documentary,Kusama - Infinity,2018,3.55,10
185701,When I Was Alive (2014),Horror|Thriller,When I Was Alive,2014,2.75,2
184693,It Came from the Desert (2017),Action|Comedy|Horror,It Came from the Desert,2017,2.13,8
199940,The Changeover (2017),Fantasy,The Changeover,2017,2.4,5
205048,21 Bridges (2019),Action|Crime|Thriller,21 Bridges,2019,1.0,2
206115,Chiara Ferragni - Unposted (2019),Documentary,Chiara Ferragni - Unposted,2019,0.75,2
112995,Sorrow and Joy (Sorg og glæde) (2013),Drama,Sorrow and Joy,Sorg og glæde) (2013,3.56,8
152019,Jarhead 3: The Siege (2016),Action|Drama,Jarhead 3: The Siege,2016,2.97,19
158727,Big Driver (2014),Crime|Mystery|Thriller,Big Driver,2014,3.03,15
